Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
68	 0 V	 0 V	 3.3500 V	 158.640 nA	 15.86400000 nA/um
69	 0 V	 0 V	 3.4000 V	 164.890 nA	 16.48900000 nA/um
70	 0 V	 0 V	 3.4500 V	 171.940 nA	 17.19400000 nA/um
71	 0 V	 0 V	 3.5000 V	 178.460 nA	 17.84600000 nA/um
72	 0 V	 0 V	 3.5500 V	 183.360 nA	 18.33600000 nA/um
73	 0 V	 0 V	 3.6000 V	 187.450 nA	 18.74500000 nA/um
74	 0 V	 0 V	 3.6500 V	 196.780 nA	 19.67800000 nA/um
75	 0 V	 0 V	 3.7000 V	 206.560 nA	 20.65600000 nA/um
76	 0 V	 0 V	 3.7500 V	 213.300 nA	 21.33000000 nA/um
77	 0 V	 0 V	 3.8000 V	 220.610 nA	 22.06100000 nA/um
78	 0 V	 0 V	 3.8500 V	 226.540 nA	 22.65400000 nA/um
79	 0 V	 0 V	 3.9000 V	 236.050 nA	 23.60500000 nA/um
80	 0 V	 0 V	 3.9500 V	 249.100 nA	 24.91000000 nA/um
81	 0 V	 0 V	 4.0000 V	 258.890 nA	 25.88900000 nA/um
82	 100.00 mV	 0 V	 0 V	 -10.1220 nA	 -1.012200000 nA/um
83	 100.00 mV	 0 V	 50.0 mV	 1.27620 uA	 127.6200000 nA/um
84	 100.00 mV	 0 V	 100.0 mV	 1.51540 uA	 151.5400000 nA/um
85	 100.00 mV	 0 V	 150.0 mV	 1.60730 uA	 160.7300000 nA/um
86	 100.00 mV	 0 V	 200.0 mV	 1.66820 uA	 166.8200000 nA/um
87	 100.00 mV	 0 V	 250.0 mV	 1.71470 uA	 171.4700000 nA/um
88	 100.00 mV	 0 V	 300.0 mV	 1.77750 uA	 177.7500000 nA/um
89	 100.00 mV	 0 V	 350.0 mV	 1.82790 uA	 182.7900000 nA/um
90	 100.00 mV	 0 V	 400.0 mV	 1.87960 uA	 187.9600000 nA/um
91	 100.00 mV	 0 V	 450.0 mV	 1.92230 uA	 192.2300000 nA/um
92	 100.00 mV	 0 V	 500.0 mV	 1.97180 uA	 197.1800000 nA/um
93	 100.00 mV	 0 V	 550.0 mV	 2.02440 uA	 202.4400000 nA/um
94	 100.00 mV	 0 V	 600.0 mV	 2.06010 uA	 206.0100000 nA/um
95	 100.00 mV	 0 V	 650.0 mV	 2.11210 uA	 211.2100000 nA/um
96	 100.00 mV	 0 V	 700.0 mV	 2.16020 uA	 216.0200000 nA/um
97	 100.00 mV	 0 V	 750.0 mV	 2.20150 uA	 220.1500000 nA/um
98	 100.00 mV	 0 V	 800.0 mV	 2.24740 uA	 224.7400000 nA/um
99	 100.00 mV	 0 V	 850.0 mV	 2.29970 uA	 229.9700000 nA/um
100	 100.00 mV	 0 V	 900.0 mV	 2.33660 uA	 233.6600000 nA/um
101	 100.00 mV	 0 V	 950.0 mV	 2.37930 uA	 237.9300000 nA/um
102	 100.00 mV	 0 V	 1.0000 V	 2.42900 uA	 242.9000000 nA/um
103	 100.00 mV	 0 V	 1.0500 V	 2.46880 uA	 246.8800000 nA/um
104	 100.00 mV	 0 V	 1.1000 V	 2.51550 uA	 251.5500000 nA/um
105	 100.00 mV	 0 V	 1.1500 V	 2.55810 uA	 255.8100000 nA/um
106	 100.00 mV	 0 V	 1.2000 V	 2.60560 uA	 260.5600000 nA/um
107	 100.00 mV	 0 V	 1.2500 V	 2.64960 uA	 264.9600000 nA/um
108	 100.00 mV	 0 V	 1.3000 V	 2.69910 uA	 269.9100000 nA/um
109	 100.00 mV	 0 V	 1.3500 V	 2.74370 uA	 274.3700000 nA/um
110	 100.00 mV	 0 V	 1.4000 V	 2.79280 uA	 279.2800000 nA/um
111	 100.00 mV	 0 V	 1.4500 V	 2.84290 uA	 284.2900000 nA/um
112	 100.00 mV	 0 V	 1.5000 V	 2.88680 uA	 288.6800000 nA/um
113	 100.00 mV	 0 V	 1.5500 V	 2.92040 uA	 292.0400000 nA/um
114	 100.00 mV	 0 V	 1.6000 V	 2.97540 uA	 297.5400000 nA/um
115	 100.00 mV	 0 V	 1.6500 V	 3.02320 uA	 302.3200000 nA/um
116	 100.00 mV	 0 V	 1.7000 V	 3.08290 uA	 308.2900000 nA/um
117	 100.00 mV	 0 V	 1.7500 V	 3.12660 uA	 312.6600000 nA/um
118	 100.00 mV	 0 V	 1.8000 V	 3.16760 uA	 316.7600000 nA/um
119	 100.00 mV	 0 V	 1.8500 V	 3.22760 uA	 322.7600000 nA/um
120	 100.00 mV	 0 V	 1.9000 V	 3.26360 uA	 326.3600000 nA/um
121	 100.00 mV	 0 V	 1.9500 V	 3.32220 uA	 332.2200000 nA/um
122	 100.00 mV	 0 V	 2.0000 V	 3.37490 uA	 337.4900000 nA/um
123	 100.00 mV	 0 V	 2.0500 V	 3.42910 uA	 342.9100000 nA/um
124	 100.00 mV	 0 V	 2.1000 V	 3.48290 uA	 348.2900000 nA/um
125	 100.00 mV	 0 V	 2.1500 V	 3.53290 uA	 353.2900000 nA/um
126	 100.00 mV	 0 V	 2.2000 V	 3.59250 uA	 359.2500000 nA/um
127	 100.00 mV	 0 V	 2.2500 V	 3.64350 uA	 364.3500000 nA/um
128	 100.00 mV	 0 V	 2.3000 V	 3.69670 uA	 369.6700000 nA/um
129	 100.00 mV	 0 V	 2.3500 V	 3.75280 uA	 375.2800000 nA/um
130	 100.00 mV	 0 V	 2.4000 V	 3.81570 uA	 381.5700000 nA/um
131	 100.00 mV	 0 V	 2.4500 V	 3.87280 uA	 387.2800000 nA/um
132	 100.00 mV	 0 V	 2.5000 V	 3.93280 uA	 393.2800000 nA/um
133	 100.00 mV	 0 V	 2.5500 V	 3.99120 uA	 399.1200000 nA/um
134	 100.00 mV	 0 V	 2.6000 V	 4.04840 uA	 404.8400000 nA/um
135	 100.00 mV	 0 V	 2.6500 V	 4.11710 uA	 411.7100000 nA/um
136	 100.00 mV	 0 V	 2.7000 V	 4.17550 uA	 417.5500000 nA/um
137	 100.00 mV	 0 V	 2.7500 V	 4.23950 uA	 423.9500000 nA/um
138	 100.00 mV	 0 V	 2.8000 V	 4.30770 uA	 430.7700000 nA/um
139	 100.00 mV	 0 V	 2.8500 V	 4.36500 uA	 436.5000000 nA/um
140	 100.00 mV	 0 V	 2.9000 V	 4.44530 uA	 444.5300000 nA/um
141	 100.00 mV	 0 V	 2.9500 V	 4.50780 uA	 450.7800000 nA/um
142	 100.00 mV	 0 V	 3.0000 V	 4.58400 uA	 458.4000000 nA/um
143	 100.00 mV	 0 V	 3.0500 V	 4.66180 uA	 466.1800000 nA/um
144	 100.00 mV	 0 V	 3.1000 V	 4.74140 uA	 474.1400000 nA/um
145	 100.00 mV	 0 V	 3.1500 V	 4.81300 uA	 481.3000000 nA/um
146	 100.00 mV	 0 V	 3.2000 V	 4.89140 uA	 489.1400000 nA/um
147	 100.00 mV	 0 V	 3.2500 V	 4.96890 uA	 496.8900000 nA/um
148	 100.00 mV	 0 V	 3.3000 V	 5.06180 uA	 506.1800000 nA/um
149	 100.00 mV	 0 V	 3.3500 V	 5.14970 uA	 514.9700000 nA/um
150	 100.00 mV	 0 V	 3.4000 V	 5.24010 uA	 524.0100000 nA/um
151	 100.00 mV	 0 V	 3.4500 V	 5.33710 uA	 533.7100000 nA/um
152	 100.00 mV	 0 V	 3.5000 V	 5.43070 uA	 543.0700000 nA/um
153	 100.00 mV	 0 V	 3.5500 V	 5.54340 uA	 554.3400000 nA/um
154	 100.00 mV	 0 V	 3.6000 V	 5.63610 uA	 563.6100000 nA/um
155	 100.00 mV	 0 V	 3.6500 V	 5.75280 uA	 575.2800000 nA/um
156	 100.00 mV	 0 V	 3.7000 V	 5.87090 uA	 587.0900000 nA/um
157	 100.00 mV	 0 V	 3.7500 V	 5.99270 uA	 599.2700000 nA/um
158	 100.00 mV	 0 V	 3.8000 V	 6.11570 uA	 611.5700000 nA/um
159	 100.00 mV	 0 V	 3.8500 V	 6.25020 uA	 625.0200000 nA/um
160	 100.00 mV	 0 V	 3.9000 V	 6.39110 uA	 639.1100000 nA/um
