Vgate (V),Vsource (V),Vdrain (V),Idrain (A)
2.00E-01,0,9.00E-01,8.14E-05
2.00E-01,0,9.50E-01,8.29E-05
2.00E-01,0,1,8.44E-05
2.00E-01,0,1.05,8.57E-05
2.00E-01,0,1.1,8.78E-05
2.00E-01,0,1.15,8.88E-05
2.00E-01,0,1.2,9.08E-05
2.00E-01,0,1.25,9.21E-05
2.00E-01,0,1.3,9.36E-05
2.00E-01,0,1.35,9.51E-05
2.00E-01,0,1.4,9.70E-05
2.00E-01,0,1.45,9.86E-05
2.00E-01,0,1.5,9.98E-05
2.00E-01,0,1.55,1.01E-04
2.00E-01,0,1.6,1.05E-04
2.00E-01,0,1.65,1.07E-04
2.00E-01,0,1.7,1.09E-04
2.00E-01,0,1.75,1.10E-04
2.00E-01,0,1.8,1.12E-04
2.00E-01,0,1.85,1.14E-04
2.00E-01,0,1.9,1.15E-04
2.00E-01,0,1.95,1.17E-04
2.00E-01,0,2,1.19E-04
2.00E-01,0,2.05,1.20E-04
2.00E-01,0,2.1,1.22E-04
2.00E-01,0,2.15,1.24E-04
2.00E-01,0,2.2,1.25E-04
2.00E-01,0,2.25,1.27E-04
2.00E-01,0,2.3,1.29E-04
2.00E-01,0,2.35,1.30E-04
2.00E-01,0,2.4,1.32E-04
2.00E-01,0,2.45,1.34E-04
2.00E-01,0,2.5,1.35E-04
2.00E-01,0,2.55,1.37E-04
2.00E-01,0,2.6,1.39E-04
2.00E-01,0,2.65,1.41E-04
2.00E-01,0,2.7,1.43E-04
2.00E-01,0,2.75,1.45E-04
2.00E-01,0,2.8,1.47E-04
2.00E-01,0,2.85,1.49E-04
2.00E-01,0,2.9,1.51E-04
2.00E-01,0,2.95,1.53E-04
2.00E-01,0,3,1.55E-04
2.00E-01,0,3.05,1.58E-04
2.00E-01,0,3.1,1.60E-04
2.00E-01,0,3.15,1.63E-04
2.00E-01,0,3.2,1.65E-04
2.00E-01,0,3.25,1.68E-04
2.00E-01,0,3.3,1.71E-04
2.00E-01,0,3.35,1.74E-04
2.00E-01,0,3.4,1.78E-04
2.00E-01,0,3.45,1.81E-04
2.00E-01,0,3.5,1.85E-04
2.00E-01,0,3.55,1.88E-04
2.00E-01,0,3.6,1.92E-04
2.00E-01,0,3.65,1.97E-04
2.00E-01,0,3.7,2.01E-04
2.00E-01,0,3.75,2.06E-04
2.00E-01,0,3.8,2.10E-04
2.00E-01,0,3.85,2.15E-04
2.00E-01,0,3.9,2.21E-04
2.00E-01,0,3.95,2.26E-04
2.00E-01,0,4,2.32E-04
3.00E-01,0,0,1.74E-06
3.00E-01,0,5.00E-02,9.62E-04
3.00E-01,0,1.00E-01,1.25E-03
3.00E-01,0,1.50E-01,1.36E-03
3.00E-01,0,2.00E-01,1.43E-03
3.00E-01,0,2.50E-01,1.49E-03
3.00E-01,0,3.00E-01,1.54E-03
3.00E-01,0,3.50E-01,1.58E-03
3.00E-01,0,4.00E-01,1.62E-03
3.00E-01,0,4.50E-01,1.66E-03
3.00E-01,0,5.00E-01,1.70E-03
